scid,message_count,percentage_of_total
882165666925903879,15,0.02
940312239782166528,15,0.02
891518112692633600,15,0.02
942804832683819009,15,0.02
984868848992976896,15,0.02
937306174946213888,15,0.02
999048151031873536,15,0.02
997432968439791623,15,0.02
1002197152338018305,15,0.02
919007002908622849,15,0.02
964856637877911553,15,0.02
1006393988071555072,15,0.02
806729273579143168,15,0.02
875862166622896128,15,0.02
1004826084554768385,15,0.02
941135773950607361,15,0.02
942869703841415168,15,0.02
996014598391332864,15,0.02
909150980706336768,15,0.02
882033725460643840,15,0.02
1003093254322257921,15,0.02
872627403535941632,15,0.02
1005037190915031041,15,0.02
994331245970391040,15,0.02
998701804766035968,15,0.02
961074317796311041,15,0.02
968976507933556737,15,0.02
1007193333155168257,15,0.02
957127071034834948,15,0.02
913414886783188993,15,0.02
990915063498670081,15,0.02
936390281855565825,15,0.02
953607534400897025,15,0.02
990603901556293633,15,0.02
940279254364651520,15,0.02
991380156870950913,15,0.02
939585462603218944,15,0.02
1000696318833131520,15,0.02
975045812221771777,15,0.02
995252636723118080,15,0.02
965644987699757057,15,0.02
1003766155325407233,15,0.02
949277657553108992,15,0.02
861822502688718849,15,0.02
897846901872132102,15,0.02
1006656771345088512,15,0.02
1004937135175958528,15,0.02
997066830904819712,15,0.02
999454970370654209,15,0.02
1001692476320972801,15,0.02
835361655836442624,15,0.02
886532927115427841,15,0.02
994551148324585473,15,0.02
1006475351898062849,15,0.02
987587941161107457,15,0.02
963055637809987584,14,0.02
959220541305061376,14,0.02
980168436789542914,14,0.02
979197568060489729,14,0.02
983605510180044802,14,0.02
993910133116698624,14,0.02
983793526766764032,14,0.02
923107081798025219,14,0.02
995664953583075328,14,0.02
861955543564288001,14,0.02
1004675451518124033,14,0.02
987142639029780481,14,0.02
1005951984383754241,14,0.02
993981601310769153,14,0.02
963265644516737028,14,0.02
943927433979953153,14,0.02
933413903899492352,14,0.02
987041483996332032,14,0.02
989456011484790784,14,0.02
971220611249274881,14,0.02
955186433049690113,14,0.02
879143109320507393,14,0.02
1007548475443249152,14,0.02
976360827954135040,14,0.02
1005529771922096129,14,0.02
988146493145808896,14,0.02
968174963999375361,14,0.02
984154166492397569,14,0.02
897676477539483654,14,0.02
967660392471461888,14,0.02
1002630359857430528,14,0.02
934425454719860736,14,0.02
988836986482524161,14,0.02
884716533860335617,14,0.02
915359922983337992,14,0.02
1003187812249436160,14,0.02
928153840201498624,14,0.02
821637551711715328,14,0.02
964942399771443200,14,0.02
970798398646779904,14,0.02
1006696353735245825,14,0.02
856088549553340417,14,0.02
999504448254312448,14,0.02
1001501161364914177,14,0.02
961478938135691264,14,0.02
967439390615535617,14,0.02
993436243566329857,14,0.02
953582245660590080,14,0.02
985330643825065985,14,0.02
969743967082315776,14,0.02
1007592455712079873,14,0.02
1007235114530832385,14,0.02
1006964634581663744,14,0.02
1002559991053484032,14,0.02
861152900185849857,14,0.02
989403234930917376,14,0.02
909121293874495494,14,0.02
1002906337349861376,14,0.02
988814996149174273,14,0.02
989045893721948161,14,0.02
986766606044168193,14,0.02
974890780891873280,14,0.02
1006292833147813889,14,0.02
989170138540539904,14,0.02
1006649074729746432,14,0.02
983667082863312896,14,0.02
985815528478801920,14,0.02
969361337039519745,14,0.02
994489575677165568,14,0.02
931236870727335936,14,0.02
1007552873372450816,14,0.02
989338363791015936,14,0.02
1003842021543575553,14,0.02
1007564967976370176,14,0.02
1005161435612774401,14,0.02
1002409358008713217,14,0.02
930747588282548224,14,0.02
1005257093109448705,14,0.02
931936160140492801,14,0.02
1007127362311880705,14,0.02
982690716438429697,14,0.02
1007074585921060864,14,0.02
848136881389568001,14,0.02
983574723885531136,14,0.02
948505800427175937,14,0.02
995545106868535297,14,0.02
885961180987719680,14,0.02
1007480305538891776,14,0.02
989232810685497345,14,0.02
920821197098385408,14,0.02
934282518130065409,14,0.02
1007588057790414849,14,0.02
1000170752378404865,14,0.02
1000513799851016193,14,0.02
961387678628708353,14,0.02
990559921133256705,14,0.02
1002570986221600768,14,0.02
927106005540536320,13,0.01
1003238389816164353,13,0.01
1003519864924405760,13,0.01
1006828295188381697,13,0.01
