orig_node,message_count,percentage_of_total
032312e5e15e89211df36e473d76af60672e3efebfe42a9b2113acbb456050b502,32,0.08
0391904d140fdf88d19423513945a5fcc49c606521b65a85f6d6fe46ebdd1c7665,32,0.08
03b4b86f2301fe2b9ca478ee5980d812de2071a21a9f8f5bb49b88e29a034e1a9b,32,0.08
03409b3cc1c60d550245cfe6c2fdf3efcd7b230f9acc4e760dd4da3ae73688660e,32,0.08
03e6e3d2fcbde43c0a15e7fda1299edb0a891f4b04d72f4afdd01c3dcc0042fac4,31,0.08
02758d961750972030292701d85c90e332bc1b7d8db0e705df3f087d285f9caf06,31,0.08
035aacdbbe6f121742f23325cba919053c5d985d35ef1ebaf267c3ba012068f0db,31,0.08
03a2ea4a43bd4d8a56b41c03ea8f6e14faf2357c94d28871e881f50076e9fac133,31,0.08
03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd,31,0.08
033d38e07e2541628214c8184cf6c562311059872363e9f538b2f45434418b5bc5,31,0.08
03d53ff9ccc6f8bd950eccc96f53b490d88510a1fa4b451a516e420e0863164613,31,0.08
0334ea8bae08c378759535054ddcc7bce8cbd16d6b15e78e0c2325715cb22e3b75,31,0.08
02f2ef56264092d7ad5e2286af6979be59fdd0f3384b37f407fd41fd0c61f6722f,31,0.08
02139c236e0f8e6b0dd11134ac4e363718e254778792ce3031979f457786405a44,30,0.07
033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809,30,0.07
0380c05582f16e9eaac622f77315e8ecc80ece6c672781baa3c4c928be21c5c9e9,30,0.07
0286639824e8f464c2febdfa9bc18a3e1e5191c3f9682fd46ba1c2b3712161aa2d,30,0.07
0379221a4051d4171490e43e4a09e218a02941f06996b71cd814b290da08ad5f7e,30,0.07
02bebf87ec9d4ab7f5fe6e7a153925bab0387a5d490bf5c177f06fcb40518130ad,30,0.07
024d74984035d068757f4c7226cc9a245b1625d32865db373d37b22ec3af736846,29,0.07
03bd6d28432d67effa2b2b89dd5fd68697940e8a8f2fbb84aaae90d584295b03bf,29,0.07
021c3ec6432d2b9b5abcb01dd64b3a8f2afe3ba7d8c021f63ffd0a994cd3bc9b88,29,0.07
03f5dc9f57c6c047938494ced134a485b1be5a134a6361bc5e33c2221bd9313d14,29,0.07
0382a077559ca2c93b2bbc7833417c33d7dbe07e18f9f9723b9de16bb9b7f25fcf,29,0.07
03b5c19f0251e78cfcc2ce9c251a38b183ed481d4c3cf55895fb3273e09cac54a8,29,0.07
03f9458f463af0291e3fce6d9ee52f9a5bf871f57a476f7ae2628897fc1ae61d74,28,0.07
039353c0be6506aeb282f24776a503971675b66b842f681a7a4ac24bde61d94ace,28,0.07
02f34c4d491da2bc4cd070d35ee39aa6cd8ae91ebd24f2033708194a4e6d3bd801,28,0.07
