orig_node,message_count,percentage_of_total
031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa,140,0.11
033e7e466c56c51f53723fb966674db881b5aae8907e22170d630fb1b149f55ee3,140,0.11
038785f5cb66513dde1d874393f7a85862d70c276601a54572dab16e3ba5ab8503,139,0.11
0278f045df017c64c27bb8126c0dd52bbcd82021c0f89a913bf32a13d9e253f692,138,0.11
0357e23939805a0a739b693107f1efd33936023afb7dea6472cd2118df6a0a7036,138,0.11
03cf8a3c7e7e1edce4d0f7331f57e2903336f0b31a42f3828224f2cade81307eef,138,0.11
039af365f0b2c9bcfeb7fb2db60e1972d2ac58e312720879eb6f755f9b800ef3be,137,0.11
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,137,0.11
03d9231f97a1dccd822ffc58226e9c7f2bec9dac00df4c0ff6c73b3d3f6c6ef6ea,136,0.11
02be8a325c61af50aebc2004e3a3db0dc8d255f2fb95036738392172f739fa1c3a,135,0.11
02dbdf2312bb589a721604f3cff62d11f0d9adcd3602a66df3c413e8ba0c565692,135,0.11
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,135,0.11
029b5fb846b22bf45f61aee7e8ca704b90b67638c3826f593dfb167f84f13681f6,134,0.11
0287819286540f78c8f4a448688d94dc06019191e480d25a6fde6359026e047d9a,134,0.11
033acb18b31498eb6503e06172dfd281b5b64df17b8a7cb6b2bcecfd89f275b755,134,0.11
03e7d1b2db2f6909365a066a2b40d5ef3a66f1c4d70d8cac3337e09ff2fd2d408f,132,0.11
02f2ef56264092d7ad5e2286af6979be59fdd0f3384b37f407fd41fd0c61f6722f,132,0.11
03c51d99fa465848553119254241f06a173527ffc773aa6a7d2518b0d871438049,132,0.11
037e6d00209740dc5e43e4f89943660a63e49eafdd723f81f89bf75bf7aeaff8ca,131,0.1
02be146de8bd4b92f98b038a9d9ab413ade61fd8aabec7ef124ef24614bcb67e80,131,0.1
023d49fd88692d4d1f366ee8ffa9dfe979c2266b036b440928e86cf3abe28d1894,130,0.1
038ba8f67ba8ff5c48764cdd3251c33598d55b203546d08a8f0ec9dcd9f27e3637,129,0.1
02f71b70f987109ffdd94399d6b5b165201517c25ab3c863c4002be75731854815,129,0.1
028e04e4802901ff6ad233cf1b185f42290f854a0e643bf3f7a7b3433b34364582,129,0.1
02f6fa3a67cb1ae7aa5ac5c86e765e6e2324570b3d6a367dc8c72bac45a5c1743f,128,0.1
0271fa10958e6cc561d9295645d501f230ebafa1bb7a5d3a0f2c5ac2af6f5b8796,128,0.1
0221b02b49b24c7a398b32f59a9c18aa6517581cada44b4d98532cdab15e93f7d0,128,0.1
02d4177d3f5c217cb68f13dd2b22b6f9ef8b2bb7a3342394edf72a2c034b8466f9,127,0.1
02084642d0c8ed890b6cfdaca8629902b536add54bc42e22195c57064f3e55d990,126,0.1
023369b071005d376bfa94b76d2ec52d01d6709f57d6b67bf26250f2ef57a66aea,125,0.1
021d2436cab847373a4212bf6d754ead5304f5d0791479643893a837b295f3441c,123,0.1
0390cc12f782259427bdc45a283705f4c20ccbdff064ed43f6b74fefcafe9eb1f7,122,0.1
02bb5e47ee26aca1654ce092d9d06eac15d953210c737f2220e2d7e54c4f108677,120,0.1
03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd,119,0.1
02ec921faa245b5813385e04a51a6f0e2d99a570ff820bc42b6d1048c278f21216,119,0.1
0265ada76084f77c267d0ffe60775e2a7463dd77ed09f89506fc0ce64ee1f8d230,119,0.1
0373eab8f43b0710549ddccc19ac7824ab6aea7655f4c15f4bc93b63df5db8fa48,117,0.09
02139c236e0f8e6b0dd11134ac4e363718e254778792ce3031979f457786405a44,117,0.09
0345dea313a1073ea4c64589b91a1fb963cb66aef2ee84570d34d2db14533cc286,117,0.09
0389b6edbdf24d45af96261f8493403abee39d74f9b1d789e70d1db9cd4480e77a,117,0.09
0381dbc5290c1c5a02693be10093e45029044fdcdffe5011a17fecb96281c5d202,116,0.09
02968608642dc4dce89cc9142e2c34e4323a98c0772d3dc24fb59581f4e67e8acb,116,0.09
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,115,0.09
03e4d457261595cb52bb2088c831304905a47df8715a5d83a11b60dca5bd4933c4,115,0.09
035adfeca8fc95de5e2e9dbf9be39ac577b510e7dad0ad9287117d01f282eb667a,114,0.09
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,114,0.09
023e24602891c28a7872ea1ad5c1bb41abe4206ae1599bb981e3278a121e7895d6,114,0.09
036467c471f04735c04dacdcaa1ffc615b0a49c951b108deba6e4f099a4be88c1f,114,0.09
033f09f5ae51c101debed97a7a7317fc5e91a2041bf9ee17079856c2d4005872e1,113,0.09
020e42f399df4dde6c1ba2289538812032c7d2f7b55d3b8caba46c3756efb34d9d,112,0.09
0280598b41a603ecd63193aa236dee1190f089b5316f89e6d68bfbe0c32649c9e9,112,0.09
033eec549d83e98397100a601664e182d1af8332dfdde7a41e4e06ed127081c80c,111,0.09
037172d2110c4148d6ed0c2790ec8be948458022425dced6794fede834be92af36,111,0.09
031cecb697b2fbdcd265d233fc65442fdf8a3522a61ab1c727a9d6be673270cbfa,109,0.09
033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809,107,0.09
03de91cc7ffe8b9dbd501eabe66b506b3037f5e84818dd42a19b4dcadf5ebfa63f,107,0.09
03bcadbf6d18681c99d6cae4364456196a0adcacc77aede921e6e40a38b12b69be,104,0.08
03a8660bd78eb0ffedecb1314201c50c610b7d39a75bc0965c8fb37e7d66f14842,104,0.08
03dd913490a6152292addba62644f458e3d7261fa939ff50ccfbc5af444e6b82e4,103,0.08
02dc8e1989f6250411e6e30137ee1e984ad7f8d3aa51454f0a40faef0e98052381,103,0.08
035f3eface5666a1a4bcb5950d768eccd35ff122c64dfa71ee50db749ac088d2c9,103,0.08
02f6155b106a9f92a13738833ec7e25da58fab1fdef3ac085571c3984bb277d547,103,0.08
0315f0e1d2e23002f84e2274fd0e722fb0fe20692ccc8a221578f620cd406ec2b7,102,0.08
03ca171e97e2e86f9e4682bc9fff84868f6d2ffd605b73667fd56b14e0797e44f8,102,0.08
0217ab1f3781f806c702341714d67ddd46bd2253150cc5a7a4354d2110439b5976,101,0.08
023966880f40128f00e0885676a8b4d009a3bdc8d1d44a84e3ee0dfdfb1a8fc152,99,0.08
026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331,99,0.08
02b4552a7a85274e4da01a7c71ca57407181752e8568b31d51f13c111a2941dce3,98,0.08
0334ea8bae08c378759535054ddcc7bce8cbd16d6b15e78e0c2325715cb22e3b75,97,0.08
026cfb76c987d1ab3d7a7fab4e740fef370aec64bddc5036c39fa2e63629d93adf,97,0.08
025022f660d278b8d90415bdde1b385841b6caf179dc69569e4b55fd5aec70555f,96,0.08
02b2c7add49ffdb7ff469ed578788e786ca1f1f0ff00b0c2c7fa3d021ef66381da,95,0.08
02b34fe5dfb72d05ce85fe3de7060d37989c78d746a1161216ee0b03887e5e51ed,94,0.08
021f1e6bdf336f7f4ebc7a585d7645ac90be3050e0dd5ab5e814d1d7bef8b897d4,93,0.07
039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3,92,0.07
02e39085e6eb7ee00b132e2f9a5faee8bee17df993baec55818c88e0dd7ea8d792,91,0.07
02ec55fdc9e8e72ce4bed4731e99a2b1c99a499d522648d4b5368545a461a4515e,91,0.07
03c287a177705648112370a4219b3b2c248553d73ad4ec08bc83653cfc5bb36347,91,0.07
02dfff62c530abdb2398b33a880701c23da6c4eb5ec6e50632eb15b9fc581df27f,90,0.07
02c57541cd039ea81d3f00b41ceccaf314eaf120cb4f232395b6fd1e307e3abd5c,90,0.07
0392fdd6d6a752dd1d8a5b3dd0800cae2ab4d06943944f450bd44e1fa8a43d6b09,89,0.07
02058a29920854e5088ade34a0f89ca9c89464d6d6595c2942eb13047580a1192b,89,0.07
032f46d1e9a0c0db99cf788ddfd86d815be6e9d752af37f4cef5a13a5276af7004,89,0.07
02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02,88,0.07
02a11dadf924de5557139f8e7ae8dcfdc2036c8b98b7b9e336265d8c8754561662,88,0.07
029b6cba0747ba09d5aee2a064490d5215225228f26067fe4aec40830148269405,87,0.07
022a2156e922ecf190106ca918c71d6ce6318852d9bdd101f83bd770033d88f291,86,0.07
030d8457f7c7f2a5d87faf538b0b85760556154b46d178a2d8fffa94b81a9cdb3f,86,0.07
025a25952b985b87a0ad1d4e355b5171f800e1d9d0f554582f729896dd5767e8bc,86,0.07
0293952cbf1be801ba5d73ff34a950affb64fcbfe2d0f46ed0b32c468874aa0d57,86,0.07
022ae8a4a199aab4ffca8cc95ec598226b9c6df0ea35e083976b62f3d7794532ca,85,0.07
03d1e5e7e2ea43762f5e1afacfb60a8002ae57189eedcc13fcab44a084f7665d1f,85,0.07
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,84,0.07
03c6a0c9cef904210e6556fa27d18319d4b1e3a05cc55d7914488073fff6b7b7ba,84,0.07
02f7af8319445fc53e7715382c0c8ce7637ce80d8ba348aac96ea6728d4b834925,84,0.07
033850b235db0e896348b9c469cb38fb9a6ead0b6a87f793fc8148879687accd5b,84,0.07
02504b40d227d90a9015e0de256b6222b6516884a6510ee5ddf003ecbc8dfb2883,82,0.07
02dd3fcdaa17b9bc83bf7138fbea85d0e83385a68b5fc8f9933658c8ee04644f68,82,0.07
038bcc6471941c7d6c14a8ce5b7159d8f73a3a0bb9a93e8896bcb892e14552658a,82,0.07
0291549a4a20b9496456686fb120c3c600418b784a2a6e55cf8c8e6ee50062e01a,82,0.07
03784d92c77f628975e8accf7a382549e3696d810da755385c76c0117a2380e747,82,0.07
0334ba6909dcae3159b4ab626b0a66fa9fa3e3355ef95518b37c44b293128539d1,82,0.07
03391210b7fd47678df727ed7c39ea2f3c8dd43d6fb747582b1c13d4c1376f4714,82,0.07
0296f5f265b0026e705def4da129bfeeb7ffc3cd3e5c77976b408c879ced6d5197,81,0.06
021d46b2afb74cc2d79788fcc7e440ba6dccb5a0d0c7b71280aa3934bf7718234f,81,0.06
03063af8b516ee0cf5c8610150adbbb5e9f875ffb5c1c73f9be2c12bc642693632,81,0.06
03474ff51d14f55a6380758db5326cbc1cc2da963c59dcca7ef7f68f2f517c3e40,80,0.06
